semester,courseCode,courseName,teachingUnit,credit,totalHours,courseType,courseAttribute,examType,isExam
2024-1,CSMATH101,高等数学(上),信息工程学院,4,64,必修课,公共基础课,闭卷考试,是
2024-1,CSENG101,大学英语(一),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-1,CSCS101,计算机导论,信息工程学院,2,32,必修课,学科基础课,闭卷考试,是
2024-1,CSCS103,离散数学,信息工程学院,3,48,必修课,学科基础课,闭卷考试,是
2024-2,CSMATH102,高等数学(下),信息工程学院,4,64,必修课,公共基础课,闭卷考试,是
2024-2,CSMATH103,线性代数,信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-2,CSENG102,大学英语(二),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-2,CSCS102,程序设计基础,信息工程学院,4,64,必修课,学科基础课,闭卷考试,是
2024-2,CSCS104,数据结构,信息工程学院,4,64,必修课,学科基础课,闭卷考试,是
2025-1,CSMATH104,概率论与数理统计,信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-1,CSENG103,大学英语(三),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-1,CSCS105,计算机组成原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-1,CSCS106,操作系统,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-1,CSELEC101,人工智能导论,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2025-2,CSENG104,大学英语(四),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-2,CSCS107,计算机网络,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-2,CSCS108,数据库原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-2,CSELEC102,机器学习,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2025-2,CSELEC103,深度学习,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2026-1,CSCS109,编译原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2026-1,CSCS110,软件工程,信息工程学院,3,48,必修课,专业核心课,闭卷考试,是
2026-1,CSELEC104,大数据分析,信息工程学院,3,48,选修课,专业选修课,考查,否
2026-1,CSELEC105,云计算技术,信息工程学院,2,32,选修课,专业选修课,考查,否
2026-1,CSELEC107,网络安全,信息工程学院,3,48,选修课,专业选修课,考查,否
2026-2,CSELEC106,分布式系统,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,CSELEC108,嵌入式系统,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,CSELEC109,移动应用开发,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,CSELEC110,Web开发技术,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,CSGRAD01,毕业设计,信息工程学院,8,128,必修课,实践教学,答辩,是
2026-2,CSPRAC01,专业实习,信息工程学院,6,192,必修课,实践教学,考查,否
2024-1,SEMATH101,高等数学(上),信息工程学院,4,64,必修课,公共基础课,闭卷考试,是
2024-1,SEENG101,大学英语(一),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-1,SECS101,计算机导论,信息工程学院,2,32,必修课,学科基础课,闭卷考试,是
2024-1,SECS103,离散数学,信息工程学院,3,48,必修课,学科基础课,闭卷考试,是
2024-2,SEMATH102,高等数学(下),信息工程学院,4,64,必修课,公共基础课,闭卷考试,是
2024-2,SEMATH103,线性代数,信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-2,SEENG102,大学英语(二),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-2,SECS102,程序设计基础,信息工程学院,4,64,必修课,学科基础课,闭卷考试,是
2024-2,SECS104,数据结构,信息工程学院,4,64,必修课,学科基础课,闭卷考试,是
2025-1,SEMATH104,概率论与数理统计,信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-1,SEENG103,大学英语(三),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-1,SECS105,计算机组成原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-1,SECS106,操作系统,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-1,SEELEC101,人工智能导论,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2025-2,SEENG104,大学英语(四),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-2,SECS107,计算机网络,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-2,SECS108,数据库原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-2,SEELEC102,机器学习,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2025-2,SEELEC103,深度学习,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2026-1,SECS109,编译原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2026-1,SECS110,软件工程,信息工程学院,3,48,必修课,专业核心课,闭卷考试,是
2026-1,SEELEC104,大数据分析,信息工程学院,3,48,选修课,专业选修课,考查,否
2026-1,SEELEC105,云计算技术,信息工程学院,2,32,选修课,专业选修课,考查,否
2026-1,SEELEC107,网络安全,信息工程学院,3,48,选修课,专业选修课,考查,否
2026-2,SEELEC106,分布式系统,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,SEELEC108,嵌入式系统,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,SEELEC109,移动应用开发,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,SEELEC110,Web开发技术,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,SEGRAD01,毕业设计,信息工程学院,8,128,必修课,实践教学,答辩,是
2026-2,SEPRAC01,专业实习,信息工程学院,6,192,必修课,实践教学,考查,否
2024-1,AIMATH101,高等数学(上),信息工程学院,4,64,必修课,公共基础课,闭卷考试,是
2024-1,AIENG101,大学英语(一),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-1,AICS101,计算机导论,信息工程学院,2,32,必修课,学科基础课,闭卷考试,是
2024-1,AICS103,离散数学,信息工程学院,3,48,必修课,学科基础课,闭卷考试,是
2024-2,AIMATH102,高等数学(下),信息工程学院,4,64,必修课,公共基础课,闭卷考试,是
2024-2,AIMATH103,线性代数,信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-2,AIENG102,大学英语(二),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-2,AICS102,程序设计基础,信息工程学院,4,64,必修课,学科基础课,闭卷考试,是
2024-2,AICS104,数据结构,信息工程学院,4,64,必修课,学科基础课,闭卷考试,是
2025-1,AIMATH104,概率论与数理统计,信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-1,AIENG103,大学英语(三),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-1,AICS105,计算机组成原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-1,AICS106,操作系统,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-1,AIELEC101,人工智能导论,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2025-2,AIENG104,大学英语(四),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-2,AICS107,计算机网络,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-2,AICS108,数据库原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-2,AIELEC102,机器学习,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2025-2,AIELEC103,深度学习,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2026-1,AICS109,编译原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2026-1,AICS110,软件工程,信息工程学院,3,48,必修课,专业核心课,闭卷考试,是
2026-1,AIELEC104,大数据分析,信息工程学院,3,48,选修课,专业选修课,考查,否
